mdate;Rf;MktRf;SMB;HML
199109;0,00727;-0,03568;0,01043;0,00109
199110;0,00729;-0,02552;0,00277;-0,01612
199111;0,00732;-0,02117;-0,0084;-0,01362
199112;0,00761;-0,0128;-0,02781;0,00511
199201;0,00758;0,04826;-0,03019;0,03029
199202;0,00763;0,02814;-0,00002;0,00596
199203;0,00771;-0,01942;0,01138;0,0102
199204;0,00774;-0,00594;0,00922;0,01233
199205;0,00776;0,02451;-0,02621;0,00394
199206;0,00774;-0,04097;0,00752;-0,01313
199207;0,00775;-0,08077;0,01333;-0,00109
199208;0,00781;-0,05997;-0,00226;0,0035
199209;0,00751;-0,04;0,01601;-0,04811
199210;0,00715;0,00386;-0,01836;-0,01877
199211;0,00715;0,01523;-0,02072;-0,00338
199212;0,00726;-0,01013;-0,00506;0,00334
199301;0,00692;0,0132;-0,00128;-0,00342
199302;0,00686;0,0587;0,00215;0,0144
199303;0,00669;0,00878;0,01236;-0,02962
199304;0,00651;-0,02803;0,02746;-0,00853
199305;0,00617;0,00101;-0,00781;-0,00711
199306;0,00622;0,01799;-0,02062;0,02131
199307;0,00587;0,05797;-0,01528;0,00829
199308;0,00546;0,05739;0,00167;0,04256
199309;0,00549;-0,01973;-0,00679;-0,01108
199310;0,00542;0,07625;0,01196;0,00167
199311;0,00516;-0,00731;-0,00138;0,00791
199312;0,00511;0,06304;-0,04506;0,05163
199401;0,00491;-0,02218;0,02046;0,00738
199402;0,00491;-0,03516;0,03326;0,01614
199403;0,0048;0,01016;-0,01188;0,02977
199404;0,00456;0,04298;-0,02196;0,0331
199405;0,00428;-0,05421;0,02407;-0,04389
199406;0,0041;-0,03357;0,00229;-0,00807
199407;0,00401;0,03575;-0,01695;0,01622
199408;0,00403;0,0199;-0,02824;0,01002
199409;0,00405;-0,07547;0,01678;-0,01908
199410;0,00404;0,01464;-0,02343;0,01572
199411;0,00406;-0,02054;0,0095;0,01048
199412;0,00434;0,01734;-0,01761;0,00342
199501;0,00406;-0,04242;0,00681;0,00637
199502;0,00403;0,03242;-0,02087;-0,00471
199503;0,00401;-0,08075;0,02451;-0,02959
199504;0,00375;0,03982;-0,04192;-0,00353
199505;0,00371;0,03195;-0,01972;0,01177
199506;0,00368;0,00523;0,00949;-0,02988
199507;0,00368;0,04547;-0,05088;-0,00649
199508;0,0036;0,00253;-0,01212;0,0175
199509;0,0034;-0,02368;-0,00275;-0,01273
199510;0,00331;-0,02619;-0,01774;0,01744
199511;0,00327;0,01541;-0,03926;0,00844
199512;0,00331;0,0156;-0,01599;0,01425
199601;0,00298;0,06678;-0,05606;0,03856
199602;0,00276;-0,00575;-0,00315;-0,00192
199603;0,00273;-0,00608;-0,02968;0,01884
199604;0,00271;-0,00488;0,00226;0,0236
199605;0,00272;0,02078;-0,02304;0,03135
199606;0,00275;0,0207;-0,03185;-0,01185
199607;0,00274;-0,03413;0,01302;-0,00047
199608;0,00268;0,02173;-0,06388;0,00492
199609;0,00254;0,0298;-0,03785;0,02125
199610;0,00251;0,00055;-0,01188;0,00765
199611;0,00255;0,04507;-0,05433;0,01654
199612;0,00266;0,00941;-0,00213;0,02792
199701;0,00254;0,05401;0,0246;-0,01245
199702;0,0026;0,06515;-0,0311;0,02732
199703;0,00266;0,05127;0,01989;0,00955
199704;0,00262;-0,00329;0,00757;0,00273
199705;0,00257;0,04112;0,03461;0,00874
199706;0,00253;0,05861;-0,00525;0,00428
199707;0,00254;0,13229;-0,06198;0,00344
199708;0,0026;-0,11043;0,0598;-0,03101
199709;0,0026;0,05605;-0,04572;0,00309
199710;0,00277;-0,08489;0,04293;-0,05159
199711;0,0029;0,03191;-0,04931;0,02723
199712;0,00303;0,05407;-0,05254;0,00074
199801;0,00285;0,04172;-0,03086;-0,03875
199802;0,00283;0,06217;-0,02893;0,03092
199803;0,00284;0,07498;-0,05417;0,03891
199804;0,00291;0,00734;0,07147;-0,02308
199805;0,0029;0,07091;-0,02833;-0,01965
199806;0,00285;0,03447;-0,06406;-0,04143
199807;0,00285;0,0156;-0,03698;0,00956
199808;0,00282;-0,15941;0,05767;0,01436
199809;0,00282;-0,08182;0,05747;-0,00821
199810;0,00285;0,02055;-0,01913;-0,03364
199811;0,00289;0,08958;-0,07194;0,02381
199812;0,0028;-0,01714;-0,01559;0,01672
199901;0,00257;0,02253;-0,03535;-0,00363
199902;0,00255;-0,04205;0,03707;-0,03596
199903;0,00249;-0,01291;0,01371;-0,00458
199904;0,00217;0,08034;-0,08292;0,0607
199905;0,00209;-0,04981;0,04628;-0,04035
199906;0,00213;0,05822;-0,06754;0,02647
199907;0,00215;-0,03663;0,07208;-0,0533
199908;0,00213;0,02024;-0,01706;-0,02466
199909;0,00212;-0,03961;0,01792;-0,015
199910;0,00226;0,06456;-0,06551;-0,00035
199911;0,0025;0,04989;-0,08865;-0,09351
199912;0,00286;0,15373;-0,14592;-0,05251
200001;0,00257;-0,0015;0,05952;-0,09154
200002;0,00274;0,11438;-0,03476;-0,16016
200003;0,00293;-0,01279;0,0218;0,05393
200004;0,00309;-0,03127;0,07246;0,02362
200005;0,00339;-0,03658;0,03873;0,02865
200006;0,00355;-0,03483;0,0465;0,00436
200007;0,00358;0,01545;-0,04411;0,01099
200008;0,00371;-0,00847;-0,00868;0,04356
200009;0,00382;-0,06979;0,03277;0,0361
200010;0,00394;-0,01993;-0,03352;0,05794
200011;0,00399;-0,09453;-0,0314;0,14702
200012;0,00402;-0,0158;-0,03803;0,06479
200101;0,0039;0,04305;0,02442;-0,05397
200102;0,0039;-0,07997;-0,01549;0,16185
200103;0,00387;-0,04913;0,0107;0,01811
200104;0,00388;0,06378;-0,04687;-0,06079
200105;0,00379;-0,02417;0,02565;0,02336
200106;0,00368;0,01521;-0,05424;-0,01069
200107;0,00367;-0,03501;-0,08681;0,05578
200108;0,00363;-0,08736;-0,01418;0,05423
200109;0,00329;-0,14168;-0,00708;0,03418
200110;0,00303;0,05114;0,0425;-0,07466
200111;0,0028;0,07444;-0,04645;-0,0259
200112;0,00279;0,01714;-0,07148;0,00132
200201;0,00273;0,003;0,02362;-0,00931
200202;0,00272;-0,01123;-0,04556;0,0324
200203;0,00273;0,04615;-0,04363;0,01186
200204;0,00272;-0,04677;-0,01487;0,07907
200205;0,00275;-0,02864;0,01653;0,02958
200206;0,00276;-0,07947;0,01338;0,05827
200207;0,00274;-0,10954;0,02759;0,01492
200208;0,00272;-0,00849;-0,02749;0,0392
200209;0,0027;-0,21758;0,0435;0,01693
200210;0,0027;0,11372;-0,04946;-0,08534
200211;0,00264;0,02899;-0,01926;0,01284
200212;0,00243;-0,10626;0,05136;-0,01608
200301;0,00233;-0,03917;-0,0035;-0,00853
200302;0,00226;-0,06235;0,0269;0,03244
200303;0,00212;-0,042;0,02343;-0,00359
200304;0,00211;0,17545;-0,01146;-0,02211
200305;0,00207;0,02278;0,04062;0,00422
200306;0,00178;0,06459;0,01465;0,06421
200307;0,00174;0,06064;-0,01027;0,05583
200308;0,00173;0,01321;-0,00091;0,0548
200309;0,00174;-0,05138;0,08162;-0,03192
200310;0,00172;0,09994;-0,02984;0,04189
200311;0,00171;0,01425;0,00281;0,01526
200312;0,00174;0,03847;-0,0388;-0,01198
200401;0,00169;0,03534;0,05973;0,00673
200402;0,00168;-0,00347;0,04919;0,00615
200403;0,00167;-0,03213;0,00378;-0,0211
200404;0,00168;0,02343;-0,01783;-0,02126
200405;0,00168;-0,01241;0,00444;-0,05659
200406;0,00169;0,02929;-0,00064;-0,01488
200407;0,00169;-0,03421;-0,01395;-0,00112
200408;0,00169;-0,02753;-0,01083;0,01843
200409;0,0017;0,02052;-0,00573;0,00233
200410;0,0017;0,01347;-0,01261;0,0311
200411;0,00173;0,03997;0,01857;-0,00684
200412;0,00177;0,02443;-0,01336;0,00758
200501;0,00173;0,00946;0,04118;0,03018
200502;0,00172;0,0205;0,04187;0,01298
200503;0,00172;-0,00157;0,00477;-0,00541
200504;0,00172;-0,03123;0,01811;0,00788
200505;0,00173;0,05664;-0,04101;-0,00068
200506;0,00172;0,02879;0,00918;0,04257
200507;0,00173;0,05894;-0,01863;0,04062
200508;0,00173;-0,00371;0,02759;0,0013
200509;0,00173;0,03915;0,00048;0,01713
200510;0,00173;-0,0305;0,01095;0,00457
